one,two
X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_RV_D3_BD4_1_7514.d,3
X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_RV_D4_BD7_1_7515.d,1
X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_RV_E1_BE12_1_7519.d,3
X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_RV_E2_BE20_1_7523.d,3
X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_RV_E3_BE4_1_7527.d,3
X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_RV_E4_BE7_1_7528.d,3
X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_RV_F1_BF13_1_7532.d,3
X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_RV_F2_BF20_1_7553.d,2
X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_RV_F6_BF9_1_7557.d,3
X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_RV_G1_BG10_1_7559.d,3
X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_RV_G2_BG20_1_7570.d,2
X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_RV_H2_BH20_1_7585.d,2
X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_RV_H3_BH4_1_7591.d,3
X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_RV_H4_BH5_1_7592.d,3
X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_RV_H5_BH6_1_7593.d,3
X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_RV_H6_BH7_1_7594.d,3
X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_RV_I4_BI5_1_7602.d,3
X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_RV_I5_BI6_1_7603.d,3
X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_RV_I6_BJ19_1_7604.d,2
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_1_Lvendo_F18_BF2_1_7824.d,3
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_1_Lvepi_I24_RH16_1_7865.d,2
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_1_Lvmid_H7_BH8_1_7859.d,1
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_1_Lvmid_I11_BI22_1_7862.d,3
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_1_RV_A4_BA5_1_7713.d,3
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_1_RV_B3_BB4_1_7724.d,3
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_1_RV_C2_BC20_1_7751.d,3
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_1_RV_D2_BD20_1_7769.d,3
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_1_RV_F4_BF5_1_7830.d,1
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_1_RV_H1_BH12_1_7843.d,3
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_1_RV_H2_BH20_1_7850.d,3
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_1_RV_H3_BH4_1_7857.d,3
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_A13_BA14_1_7703.d,2
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_A14_BA15_1_7704.d,2
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_A15_BA16_1_7705.d,2
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_A16_BA17_1_7706.d,2
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_A17_BA18_1_7707.d,1
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_A18_BA19_1_7708.d,2
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_B13_BB16_1_7717.d,1
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_B16_BB17_1_7718.d,1
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_B17_BB19_1_7719.d,1
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_C13_BC14_1_7747.d,1
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_C14_BC16_1_7748.d,1
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_C16_BC18_1_7749.d,2
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_C18_BC2_1_7750.d,1
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_D15_BD16_1_7764.d,1
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_D16_BD17_1_7765.d,1
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_D17_BD18_1_7766.d,3
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_D18_BD19_1_7767.d,1
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_E13_BE14_1_7782.d,1
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_E14_BE15_1_7783.d,1
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_E15_BE16_1_7784.d,1
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_E16_BE17_1_7785.d,1
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_E17_BE18_1_7786.d,1
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_E18_BE19_1_7787.d,1
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_F14_BF15_1_7799.d,1
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_F15_BF16_1_7800.d,1
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_F16_BF17_1_7801.d,1
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_F17_RH9_1_7802.d,1
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_G15_BG17_1_7835.d,2
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_G17_BG20_1_7836.d,1
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_H13_BH15_1_7845.d,1
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_H15_BH16_1_7846.d,1
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_H16_BH17_1_7847.d,2
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_H17_BH19_1_7848.d,2
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_A19_BA2_1_7709.d,2
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_A20_BA24_1_7711.d,3
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_A24_BA4_1_7712.d,1
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_B19_BB2_1_7720.d,2
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_B22_BB24_1_7722.d,2
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_B24_BB3_1_7723.d,3
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_C20_BC22_1_7752.d,2
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_C22_BC23_1_7753.d,2
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_C23_BC3_1_7754.d,2
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_D19_BD2_1_7768.d,2
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_D20_BD22_1_7770.d,2
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_D22_RH7_1_7771.d,2
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_D23_BD24_1_7774.d,2
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_D24_BD3_1_7775.d,2
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_E19_BE2_1_7788.d,2
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_E20_BE22_1_7790.d,2
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_E22_BE23_1_7791.d,2
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_E23_BE24_1_7792.d,2
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_E24_BE3_1_7793.d,2
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_F20_BF21_1_7826.d,2
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_F21_BF23_1_7827.d,2
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_F23_BF3_1_7828.d,2
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_G20_BG21_1_7837.d,1
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_G21_BG24_1_7838.d,1
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_G24_BG5_1_7839.d,2
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_H19_BH2_1_7849.d,1
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_H20_BH22_1_7851.d,1
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_H22_BH23_1_7852.d,2
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_H23_RH11_1_7853.d,1
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_H24_BH3_1_7856.d,1
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_I22_BI23_1_7863.d,1
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_I23_BI24_1_7864.d,2
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvmid_A12_BA13_1_7702.d,2
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvmid_A8_BB12_1_7715.d,2
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvmid_B12_BB13_1_7716.d,1
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvmid_B7_BB8_1_7728.d,3
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvmid_B8_RB5_1_7729.d,3
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvmid_B9_B1_1_7732.d,1
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvmid_B9_BC1_1_7742.d,3
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvmid_C10_BC11_1_7744.d,1
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvmid_C11_BC12_1_7745.d,3
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvmid_C12_BC13_1_7746.d,1
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvmid_C8_BD1_1_7757.d,1
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvmid_D10_BD11_1_7759.d,1
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvmid_D11_BD12_1_7760.d,1
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvmid_D12_BD13_1_7761.d,1
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvmid_D7_BE1_1_7780.d,1
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvmid_F12_BF14_1_7798.d,1
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvmid_F7_BF8_1_7833.d,1
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvmid_F8_BG15_1_7834.d,1
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvmid_G7_BH1_1_7842.d,1
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvmid_H12_BH13_1_7844.d,1
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvmid_H8_BI1_1_7860.d,3
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_RV_A1_BA12_1_7701.d,3
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_RV_B2_BB22_1_7721.d,3
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_RV_B4_BB5_1_7725.d,3
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_RV_B5_BB6_1_7726.d,3
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_RV_B6_BB7_1_7727.d,3
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_RV_C1_BC10_1_7743.d,3
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_RV_C3_BC5_1_7755.d,3
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_RV_C5_BC8_1_7756.d,3
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_RV_D1_BD10_1_7758.d,2
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_RV_D3_BD4_1_7776.d,1
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_RV_D4_BD5_1_7777.d,3
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_RV_D5_BD6_1_7778.d,3
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_RV_D6_BD7_1_7779.d,1
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_RV_E2_BE20_1_7789.d,2
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_RV_E3_BE4_1_7794.d,2
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_RV_E4_BE6_1_7795.d,2
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_RV_E6_BF1_1_7796.d,3
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_RV_F2_BF20_1_7825.d,2
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_RV_F5_BF6_1_7831.d,2
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_RV_F6_BF7_1_7832.d,2
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_RV_G5_BG6_1_7840.d,3
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_RV_G6_BG7_1_7841.d,3
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_RV_H4_BH7_1_7858.d,3
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_RV_I1_BI11_1_7861.d,2